accuracies,n_authors,n_samples,FE_algorithm,n_gram,doc_len
0.9458333333333332,2,120,Char n-gram,5,27-55
0.93125,2,80,Char n-gram,5,27-55
0.8375,2,40,Char n-gram,5,27-55
0.8066666666666666,5,120,Char n-gram,5,27-55
0.7550000000000001,5,80,Char n-gram,5,27-55
0.645,5,40,Char n-gram,5,27-55
0.8166666666666667,10,120,Char n-gram,5,27-55
0.7787499999999999,10,80,Char n-gram,5,27-55
0.6849999999999999,10,40,Char n-gram,5,27-55
0.7975,20,120,Char n-gram,5,27-55
0.72,20,80,Char n-gram,5,27-55
0.61875,20,40,Char n-gram,5,27-55
0.7125,2,120,POS n-gram,1,56-320
0.7375,2,80,POS n-gram,1,56-320
0.6875,2,40,POS n-gram,1,56-320
0.4133333333333334,5,120,POS n-gram,1,56-320
0.45999999999999996,5,80,POS n-gram,1,56-320
0.41500000000000004,5,40,POS n-gram,1,56-320
0.28083333333333327,10,120,POS n-gram,1,56-320
0.26625,10,80,POS n-gram,1,56-320
0.25250000000000006,10,40,POS n-gram,1,56-320
0.17833333333333332,20,120,POS n-gram,1,56-320
0.18250000000000002,20,80,POS n-gram,1,56-320
0.17124999999999999,20,40,POS n-gram,1,56-320
0.8,2,120,POS n-gram,2,56-320
0.7625,2,80,POS n-gram,2,56-320
0.6875,2,40,POS n-gram,2,56-320
0.5333333333333333,5,120,POS n-gram,2,56-320
0.4875,5,80,POS n-gram,2,56-320
0.4800000000000001,5,40,POS n-gram,2,56-320
0.4208333333333333,10,120,POS n-gram,2,56-320
0.39625000000000005,10,80,POS n-gram,2,56-320
0.3625,10,40,POS n-gram,2,56-320
0.3129166666666666,20,120,POS n-gram,2,56-320
0.31125,20,80,POS n-gram,2,56-320
0.26874999999999993,20,40,POS n-gram,2,56-320
0.7416666666666667,2,120,POS n-gram,3,56-320
0.6875,2,80,POS n-gram,3,56-320
0.7125,2,40,POS n-gram,3,56-320
0.5566666666666666,5,120,POS n-gram,3,56-320
0.5075,5,80,POS n-gram,3,56-320
0.4800000000000001,5,40,POS n-gram,3,56-320
0.4758333333333333,10,120,POS n-gram,3,56-320
0.47000000000000003,10,80,POS n-gram,3,56-320
0.37,10,40,POS n-gram,3,56-320
0.4133333333333334,20,120,POS n-gram,3,56-320
0.37375,20,80,POS n-gram,3,56-320
0.2625,20,40,POS n-gram,3,56-320
0.7666666666666666,2,120,POS n-gram,4,56-320
0.6625,2,80,POS n-gram,4,56-320
0.6875,2,40,POS n-gram,4,56-320
0.5716666666666667,5,120,POS n-gram,4,56-320
0.49250000000000005,5,80,POS n-gram,4,56-320
0.47000000000000003,5,40,POS n-gram,4,56-320
0.475,10,120,POS n-gram,4,56-320
0.42874999999999996,10,80,POS n-gram,4,56-320
0.32,10,40,POS n-gram,4,56-320
0.4533333333333333,20,120,POS n-gram,4,56-320
0.35937499999999994,20,80,POS n-gram,4,56-320
0.24500000000000002,20,40,POS n-gram,4,56-320
0.6708333333333333,2,120,POS n-gram,5,56-320
0.56875,2,80,POS n-gram,5,56-320
0.65,2,40,POS n-gram,5,56-320
0.5166666666666667,5,120,POS n-gram,5,56-320
0.5075000000000001,5,80,POS n-gram,5,56-320
0.37,5,40,POS n-gram,5,56-320
0.4416666666666667,10,120,POS n-gram,5,56-320
0.39375,10,80,POS n-gram,5,56-320
0.3175,10,40,POS n-gram,5,56-320
0.4370833333333334,20,120,POS n-gram,5,56-320
0.37124999999999997,20,80,POS n-gram,5,56-320
0.24,20,40,POS n-gram,5,56-320
0.9,2,120,Word n-gram,1,56-320
0.875,2,80,Word n-gram,1,56-320
0.9,2,40,Word n-gram,1,56-320
0.85,5,120,Word n-gram,1,56-320
0.805,5,80,Word n-gram,1,56-320
0.7200000000000001,5,40,Word n-gram,1,56-320
0.7866666666666667,10,120,Word n-gram,1,56-320
0.7262500000000001,10,80,Word n-gram,1,56-320
0.705,10,40,Word n-gram,1,56-320
0.7445833333333333,20,120,Word n-gram,1,56-320
0.6812499999999999,20,80,Word n-gram,1,56-320
0.60375,20,40,Word n-gram,1,56-320
0.8625,2,120,Word n-gram,2,56-320
0.79375,2,80,Word n-gram,2,56-320
0.875,2,40,Word n-gram,2,56-320
0.7616666666666666,5,120,Word n-gram,2,56-320
0.735,5,80,Word n-gram,2,56-320
0.655,5,40,Word n-gram,2,56-320
0.69,10,120,Word n-gram,2,56-320
0.6912499999999999,10,80,Word n-gram,2,56-320
0.5975,10,40,Word n-gram,2,56-320
0.6070833333333333,20,120,Word n-gram,2,56-320
0.56125,20,80,Word n-gram,2,56-320
0.45,20,40,Word n-gram,2,56-320
0.7375,2,120,Word n-gram,3,56-320
0.675,2,80,Word n-gram,3,56-320
0.575,2,40,Word n-gram,3,56-320
0.63,5,120,Word n-gram,3,56-320
0.5700000000000001,5,80,Word n-gram,3,56-320
0.525,5,40,Word n-gram,3,56-320
0.5433333333333333,10,120,Word n-gram,3,56-320
0.5125,10,80,Word n-gram,3,56-320
0.42000000000000004,10,40,Word n-gram,3,56-320
0.5279166666666667,20,120,Word n-gram,3,56-320
0.456875,20,80,Word n-gram,3,56-320
0.31875000000000003,20,40,Word n-gram,3,56-320
0.575,2,120,Word n-gram,4,56-320
0.56875,2,80,Word n-gram,4,56-320
0.475,2,40,Word n-gram,4,56-320
0.54,5,120,Word n-gram,4,56-320
0.5,5,80,Word n-gram,4,56-320
0.42000000000000004,5,40,Word n-gram,4,56-320
0.4916666666666666,10,120,Word n-gram,4,56-320
0.41125000000000006,10,80,Word n-gram,4,56-320
0.35500000000000004,10,40,Word n-gram,4,56-320
0.5016666666666667,20,120,Word n-gram,4,56-320
0.40812500000000007,20,80,Word n-gram,4,56-320
0.32125,20,40,Word n-gram,4,56-320
0.6,2,120,Word n-gram,5,56-320
0.575,2,80,Word n-gram,5,56-320
0.5,2,40,Word n-gram,5,56-320
0.48500000000000004,5,120,Word n-gram,5,56-320
0.4875,5,80,Word n-gram,5,56-320
0.4699999999999999,5,40,Word n-gram,5,56-320
0.44833333333333336,10,120,Word n-gram,5,56-320
0.3775,10,80,Word n-gram,5,56-320
0.32,10,40,Word n-gram,5,56-320
0.45458333333333323,20,120,Word n-gram,5,56-320
0.385,20,80,Word n-gram,5,56-320
0.30375,20,40,Word n-gram,5,56-320
0.6583333333333334,2,120,Char n-gram,1,56-320
0.65,2,80,Char n-gram,1,56-320
0.575,2,40,Char n-gram,1,56-320
0.4149999999999999,5,120,Char n-gram,1,56-320
0.40750000000000003,5,80,Char n-gram,1,56-320
0.375,5,40,Char n-gram,1,56-320
0.3358333333333333,10,120,Char n-gram,1,56-320
0.3525,10,80,Char n-gram,1,56-320
0.33,10,40,Char n-gram,1,56-320
0.23541666666666666,20,120,Char n-gram,1,56-320
0.209375,20,80,Char n-gram,1,56-320
0.16875,20,40,Char n-gram,1,56-320
0.8083333333333333,2,120,Char n-gram,2,56-320
0.7875,2,80,Char n-gram,2,56-320
0.8375,2,40,Char n-gram,2,56-320
0.64,5,120,Char n-gram,2,56-320
0.66,5,80,Char n-gram,2,56-320
0.7050000000000001,5,40,Char n-gram,2,56-320
0.5583333333333333,10,120,Char n-gram,2,56-320
0.60875,10,80,Char n-gram,2,56-320
0.48250000000000004,10,40,Char n-gram,2,56-320
0.49375,20,120,Char n-gram,2,56-320
0.469375,20,80,Char n-gram,2,56-320
0.3975,20,40,Char n-gram,2,56-320
0.8583333333333332,2,120,Char n-gram,3,56-320
0.88125,2,80,Char n-gram,3,56-320
0.9,2,40,Char n-gram,3,56-320
0.755,5,120,Char n-gram,3,56-320
0.8074999999999999,5,80,Char n-gram,3,56-320
0.72,5,40,Char n-gram,3,56-320
0.6758333333333334,10,120,Char n-gram,3,56-320
0.67375,10,80,Char n-gram,3,56-320
0.6375,10,40,Char n-gram,3,56-320
0.6420833333333333,20,120,Char n-gram,3,56-320
0.6024999999999999,20,80,Char n-gram,3,56-320
0.53125,20,40,Char n-gram,3,56-320
0.925,2,120,Char n-gram,4,56-320
0.93125,2,80,Char n-gram,4,56-320
0.8625,2,40,Char n-gram,4,56-320
0.825,5,120,Char n-gram,4,56-320
0.795,5,80,Char n-gram,4,56-320
0.745,5,40,Char n-gram,4,56-320
0.71,10,120,Char n-gram,4,56-320
0.7,10,80,Char n-gram,4,56-320
0.635,10,40,Char n-gram,4,56-320
0.6779166666666666,20,120,Char n-gram,4,56-320
0.6331249999999999,20,80,Char n-gram,4,56-320
0.5800000000000001,20,40,Char n-gram,4,56-320
0.925,2,120,Char n-gram,5,56-320
0.9375,2,80,Char n-gram,5,56-320
0.875,2,40,Char n-gram,5,56-320
0.8166666666666667,5,120,Char n-gram,5,56-320
0.7925000000000001,5,80,Char n-gram,5,56-320
0.755,5,40,Char n-gram,5,56-320
0.7175,10,120,Char n-gram,5,56-320
0.6975,10,80,Char n-gram,5,56-320
0.625,10,40,Char n-gram,5,56-320
0.6929166666666667,20,120,Char n-gram,5,56-320
0.615,20,80,Char n-gram,5,56-320
0.5250000000000001,20,40,Char n-gram,5,56-320
