"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.4864516129032258","31","50","POS n-gram","1","1-46"
"0.5064516129032258","31","100","POS n-gram","1","1-46"
"0.5204838709677421","31","200","POS n-gram","1","1-46"
"0.526989247311828","31","300","POS n-gram","1","1-46"
"0.5323870967741935","31","500","POS n-gram","1","1-46"
"0.396875","32","10","POS n-gram","1","1-46"
"0.43125","32","20","POS n-gram","1","1-46"
"0.44375","32","30","POS n-gram","1","1-46"
"0.491875","32","50","POS n-gram","1","1-46"
"0.49437500000000006","32","100","POS n-gram","1","1-46"
"0.5135937499999998","32","200","POS n-gram","1","1-46"
"0.5110416666666666","32","300","POS n-gram","1","1-46"
"0.5185625","32","500","POS n-gram","1","1-46"
"0.403030303030303","33","10","POS n-gram","1","1-46"
"0.4590909090909091","33","20","POS n-gram","1","1-46"
"0.4494949494949495","33","30","POS n-gram","1","1-46"
"0.47757575757575765","33","50","POS n-gram","1","1-46"
"0.49424242424242426","33","100","POS n-gram","1","1-46"
"0.505","33","200","POS n-gram","1","1-46"
"0.49929292929292934","33","300","POS n-gram","1","1-46"
"0.5033333333333333","33","500","POS n-gram","1","1-46"
"0.41764705882352937","34","10","POS n-gram","1","1-46"
"0.4573529411764706","34","20","POS n-gram","1","1-46"
"0.4627450980392157","34","30","POS n-gram","1","1-46"
"0.4682352941176471","34","50","POS n-gram","1","1-46"
"0.503235294117647","34","100","POS n-gram","1","1-46"
"0.5135294117647058","34","200","POS n-gram","1","1-46"
"0.5188235294117647","34","300","POS n-gram","1","1-46"
"0.5158235294117647","34","500","POS n-gram","1","1-46"
"0.44857142857142857","35","10","POS n-gram","1","1-46"
"0.41428571428571426","35","20","POS n-gram","1","1-46"
"0.4342857142857143","35","30","POS n-gram","1","1-46"
"0.4874285714285714","35","50","POS n-gram","1","1-46"
"0.4934285714285715","35","100","POS n-gram","1","1-46"
"0.5071428571428572","35","200","POS n-gram","1","1-46"
"0.5093333333333333","35","300","POS n-gram","1","1-46"
"0.5143428571428572","35","500","POS n-gram","1","1-46"
"0.36666666666666664","36","10","POS n-gram","1","1-46"
"0.4444444444444445","36","20","POS n-gram","1","1-46"
"0.45","36","30","POS n-gram","1","1-46"
"0.4644444444444445","36","50","POS n-gram","1","1-46"
"0.49416666666666664","36","100","POS n-gram","1","1-46"
"0.49083333333333334","36","200","POS n-gram","1","1-46"
"0.4909259259259259","36","300","POS n-gram","1","1-46"
"0.49961111111111106","36","500","POS n-gram","1","1-46"
"0.4108108108108109","37","10","POS n-gram","1","1-46"
"0.4175675675675675","37","20","POS n-gram","1","1-46"
"0.4441441441441441","37","30","POS n-gram","1","1-46"
"0.4713513513513513","37","50","POS n-gram","1","1-46"
"0.4924324324324324","37","100","POS n-gram","1","1-46"
"0.5078378378378379","37","200","POS n-gram","1","1-46"
"0.4956756756756756","37","300","POS n-gram","1","1-46"
"0.5102702702702703","37","500","POS n-gram","1","1-46"
"0.36578947368421055","38","10","POS n-gram","1","1-46"
"0.4302631578947368","38","20","POS n-gram","1","1-46"
"0.42631578947368415","38","30","POS n-gram","1","1-46"
"0.468421052631579","38","50","POS n-gram","1","1-46"
"0.4760526315789474","38","100","POS n-gram","1","1-46"
"0.4877631578947369","38","200","POS n-gram","1","1-46"
"0.5000877192982456","38","300","POS n-gram","1","1-46"
"0.495842105263158","38","500","POS n-gram","1","1-46"
"0.37948717948717947","39","10","POS n-gram","1","1-46"
"0.4025641025641026","39","20","POS n-gram","1","1-46"
"0.43589743589743596","39","30","POS n-gram","1","1-46"
"0.4774358974358974","39","50","POS n-gram","1","1-46"
"0.4758974358974359","39","100","POS n-gram","1","1-46"
"0.4837179487179487","39","200","POS n-gram","1","1-46"
"0.4955555555555556","39","300","POS n-gram","1","1-46"
"0.49364102564102563","39","500","POS n-gram","1","1-46"
"0.4","40","10","POS n-gram","1","1-46"
"0.41","40","20","POS n-gram","1","1-46"
"0.4341666666666667","40","30","POS n-gram","1","1-46"
"0.45150000000000007","40","50","POS n-gram","1","1-46"
"0.47925000000000006","40","100","POS n-gram","1","1-46"
"0.475","40","200","POS n-gram","1","1-46"
"0.47700000000000004","40","300","POS n-gram","1","1-46"
"0.4816","40","500","POS n-gram","1","1-46"
"0.3341463414634146","41","10","POS n-gram","1","1-46"
"0.39146341463414636","41","20","POS n-gram","1","1-46"
"0.41626016260162607","41","30","POS n-gram","1","1-46"
"0.433170731707317","41","50","POS n-gram","1","1-46"
"0.44780487804878055","41","100","POS n-gram","1","1-46"
"0.468780487804878","41","200","POS n-gram","1","1-46"
"0.47300813008130077","41","300","POS n-gram","1","1-46"
"0.46746341463414637","41","500","POS n-gram","1","1-46"
"0.40476190476190477","42","10","POS n-gram","1","1-46"
"0.3678571428571428","42","20","POS n-gram","1","1-46"
"0.4031746031746032","42","30","POS n-gram","1","1-46"
"0.4247619047619048","42","50","POS n-gram","1","1-46"
"0.45357142857142857","42","100","POS n-gram","1","1-46"
"0.4523809523809524","42","200","POS n-gram","1","1-46"
"0.44841269841269843","42","300","POS n-gram","1","1-46"
"0.45704761904761904","42","500","POS n-gram","1","1-46"
"0.3325581395348837","43","10","POS n-gram","1","1-46"
"0.3906976744186047","43","20","POS n-gram","1","1-46"
"0.41860465116279066","43","30","POS n-gram","1","1-46"
"0.42093023255813955","43","50","POS n-gram","1","1-46"
"0.43674418604651166","43","100","POS n-gram","1","1-46"
"0.44616279069767445","43","200","POS n-gram","1","1-46"
"0.44503875968992246","43","300","POS n-gram","1","1-46"
"0.44655813953488366","43","500","POS n-gram","1","1-46"
"0.3931818181818182","44","10","POS n-gram","1","1-46"
