accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm_ngram
0.713170731707317,41,100,Word n-gram,1,Word n-gram 1
0.7759756097560976,41,200,Word n-gram,1,Word n-gram 1
0.8060162601626016,41,300,Word n-gram,1,Word n-gram 1
0.8333170731707316,41,500,Word n-gram,1,Word n-gram 1
0.4976190476190476,42,10,Word n-gram,1,Word n-gram 1
0.5595238095238095,42,20,Word n-gram,1,Word n-gram 1
0.5888888888888889,42,30,Word n-gram,1,Word n-gram 1
0.6338095238095238,42,50,Word n-gram,1,Word n-gram 1
0.700952380952381,42,100,Word n-gram,1,Word n-gram 1
0.7645238095238095,42,200,Word n-gram,1,Word n-gram 1
0.796984126984127,42,300,Word n-gram,1,Word n-gram 1
0.827,42,500,Word n-gram,1,Word n-gram 1
0.4744186046511628,43,10,Word n-gram,1,Word n-gram 1
0.5616279069767443,43,20,Word n-gram,1,Word n-gram 1
0.5821705426356589,43,30,Word n-gram,1,Word n-gram 1
0.6395348837209303,43,50,Word n-gram,1,Word n-gram 1
0.6993023255813954,43,100,Word n-gram,1,Word n-gram 1
0.7530232558139536,43,200,Word n-gram,1,Word n-gram 1
0.785968992248062,43,300,Word n-gram,1,Word n-gram 1
0.8233953488372092,43,500,Word n-gram,1,Word n-gram 1
0.48863636363636365,44,10,Word n-gram,1,Word n-gram 1
0.5397727272727273,44,20,Word n-gram,1,Word n-gram 1
0.5712121212121212,44,30,Word n-gram,1,Word n-gram 1
0.6022727272727273,44,50,Word n-gram,1,Word n-gram 1
0.6843181818181818,44,100,Word n-gram,1,Word n-gram 1
0.7443181818181819,44,200,Word n-gram,1,Word n-gram 1
0.7813636363636365,44,300,Word n-gram,1,Word n-gram 1
0.8129090909090909,44,500,Word n-gram,1,Word n-gram 1
0.48,45,10,Word n-gram,1,Word n-gram 1
0.5455555555555555,45,20,Word n-gram,1,Word n-gram 1
0.5637037037037037,45,30,Word n-gram,1,Word n-gram 1
0.6102222222222222,45,50,Word n-gram,1,Word n-gram 1
0.687111111111111,45,100,Word n-gram,1,Word n-gram 1
0.7466666666666666,45,200,Word n-gram,1,Word n-gram 1
0.7656296296296297,45,300,Word n-gram,1,Word n-gram 1
0.8125333333333333,45,500,Word n-gram,1,Word n-gram 1
0.4608695652173913,46,10,Word n-gram,1,Word n-gram 1
0.5173913043478261,46,20,Word n-gram,1,Word n-gram 1
0.5557971014492754,46,30,Word n-gram,1,Word n-gram 1
0.6017391304347826,46,50,Word n-gram,1,Word n-gram 1
0.676304347826087,46,100,Word n-gram,1,Word n-gram 1
0.7335869565217392,46,200,Word n-gram,1,Word n-gram 1
0.7643478260869565,46,300,Word n-gram,1,Word n-gram 1
0.8010000000000002,46,500,Word n-gram,1,Word n-gram 1
0.45319148936170206,47,10,Word n-gram,1,Word n-gram 1
0.5159574468085106,47,20,Word n-gram,1,Word n-gram 1
0.5617021276595745,47,30,Word n-gram,1,Word n-gram 1
0.6119148936170213,47,50,Word n-gram,1,Word n-gram 1
0.6861702127659575,47,100,Word n-gram,1,Word n-gram 1
0.7396808510638297,47,200,Word n-gram,1,Word n-gram 1
0.7670212765957447,47,300,Word n-gram,1,Word n-gram 1
0.8031489361702129,47,500,Word n-gram,1,Word n-gram 1
0.4916666666666667,48,10,Word n-gram,1,Word n-gram 1
0.51875,48,20,Word n-gram,1,Word n-gram 1
0.5354166666666667,48,30,Word n-gram,1,Word n-gram 1
0.605,48,50,Word n-gram,1,Word n-gram 1
0.6602083333333334,48,100,Word n-gram,1,Word n-gram 1
0.7288541666666666,48,200,Word n-gram,1,Word n-gram 1
0.7547916666666667,48,300,Word n-gram,1,Word n-gram 1
0.7861666666666667,48,500,Word n-gram,1,Word n-gram 1
0.45714285714285713,49,10,Word n-gram,1,Word n-gram 1
0.5306122448979592,49,20,Word n-gram,1,Word n-gram 1
0.5544217687074829,49,30,Word n-gram,1,Word n-gram 1
0.5934693877551019,49,50,Word n-gram,1,Word n-gram 1
0.6661224489795918,49,100,Word n-gram,1,Word n-gram 1
0.716530612244898,49,200,Word n-gram,1,Word n-gram 1
0.748843537414966,49,300,Word n-gram,1,Word n-gram 1
0.7813061224489796,49,500,Word n-gram,1,Word n-gram 1
0.42600000000000005,50,10,Word n-gram,1,Word n-gram 1
0.514,50,20,Word n-gram,1,Word n-gram 1
0.52,50,30,Word n-gram,1,Word n-gram 1
0.5892000000000001,50,50,Word n-gram,1,Word n-gram 1
0.6626,50,100,Word n-gram,1,Word n-gram 1
0.7224,50,200,Word n-gram,1,Word n-gram 1
0.7450666666666665,50,300,Word n-gram,1,Word n-gram 1
0.77712,50,500,Word n-gram,1,Word n-gram 1
0.75,2,10,Word n-gram,2,Word n-gram 2
0.925,2,20,Word n-gram,2,Word n-gram 2
0.85,2,30,Word n-gram,2,Word n-gram 2
0.97,2,50,Word n-gram,2,Word n-gram 2
0.9799999999999999,2,100,Word n-gram,2,Word n-gram 2
1.0,2,200,Word n-gram,2,Word n-gram 2
1.0,2,300,Word n-gram,2,Word n-gram 2
1.0,2,500,Word n-gram,2,Word n-gram 2
0.8666666666666668,3,10,Word n-gram,2,Word n-gram 2
0.85,3,20,Word n-gram,2,Word n-gram 2
0.8666666666666666,3,30,Word n-gram,2,Word n-gram 2
0.9266666666666667,3,50,Word n-gram,2,Word n-gram 2
0.9833333333333334,3,100,Word n-gram,2,Word n-gram 2
0.9816666666666667,3,200,Word n-gram,2,Word n-gram 2
0.99,3,300,Word n-gram,2,Word n-gram 2
0.9913333333333334,3,500,Word n-gram,2,Word n-gram 2
0.85,4,10,Word n-gram,2,Word n-gram 2
0.925,4,20,Word n-gram,2,Word n-gram 2
0.9416666666666668,4,30,Word n-gram,2,Word n-gram 2
0.9299999999999999,4,50,Word n-gram,2,Word n-gram 2
0.975,4,100,Word n-gram,2,Word n-gram 2
0.99375,4,200,Word n-gram,2,Word n-gram 2
0.9883333333333333,4,300,Word n-gram,2,Word n-gram 2
0.9924999999999999,4,500,Word n-gram,2,Word n-gram 2
0.8200000000000001,5,10,Word n-gram,2,Word n-gram 2
0.8800000000000001,5,20,Word n-gram,2,Word n-gram 2
0.9466666666666667,5,30,Word n-gram,2,Word n-gram 2
0.96,5,50,Word n-gram,2,Word n-gram 2
0.986,5,100,Word n-gram,2,Word n-gram 2
0.9949999999999999,5,200,Word n-gram,2,Word n-gram 2
0.9946666666666667,5,300,Word n-gram,2,Word n-gram 2
0.9955999999999999,5,500,Word n-gram,2,Word n-gram 2
0.8166666666666667,6,10,Word n-gram,2,Word n-gram 2
0.95,6,20,Word n-gram,2,Word n-gram 2
0.8944444444444446,6,30,Word n-gram,2,Word n-gram 2
0.9566666666666667,6,50,Word n-gram,2,Word n-gram 2
0.9733333333333333,6,100,Word n-gram,2,Word n-gram 2
0.9908333333333335,6,200,Word n-gram,2,Word n-gram 2
0.99,6,300,Word n-gram,2,Word n-gram 2
0.9923333333333334,6,500,Word n-gram,2,Word n-gram 2
0.8428571428571429,7,10,Word n-gram,2,Word n-gram 2
0.9071428571428571,7,20,Word n-gram,2,Word n-gram 2
0.9523809523809523,7,30,Word n-gram,2,Word n-gram 2
0.9485714285714286,7,50,Word n-gram,2,Word n-gram 2
0.9700000000000001,7,100,Word n-gram,2,Word n-gram 2
0.9835714285714285,7,200,Word n-gram,2,Word n-gram 2
0.9933333333333334,7,300,Word n-gram,2,Word n-gram 2
0.9934285714285714,7,500,Word n-gram,2,Word n-gram 2
0.7625,8,10,Word n-gram,2,Word n-gram 2
0.79375,8,20,Word n-gram,2,Word n-gram 2
0.8583333333333334,8,30,Word n-gram,2,Word n-gram 2
0.8925000000000001,8,50,Word n-gram,2,Word n-gram 2
0.9324999999999999,8,100,Word n-gram,2,Word n-gram 2
0.9712500000000001,8,200,Word n-gram,2,Word n-gram 2
0.9779166666666667,8,300,Word n-gram,2,Word n-gram 2
0.9855,8,500,Word n-gram,2,Word n-gram 2
0.7888888888888889,9,10,Word n-gram,2,Word n-gram 2
0.8111111111111112,9,20,Word n-gram,2,Word n-gram 2
0.8333333333333333,9,30,Word n-gram,2,Word n-gram 2
0.9133333333333334,9,50,Word n-gram,2,Word n-gram 2
0.9277777777777778,9,100,Word n-gram,2,Word n-gram 2
0.9727777777777776,9,200,Word n-gram,2,Word n-gram 2
0.9833333333333332,9,300,Word n-gram,2,Word n-gram 2
0.9906666666666668,9,500,Word n-gram,2,Word n-gram 2
0.7899999999999999,10,10,Word n-gram,2,Word n-gram 2
0.835,10,20,Word n-gram,2,Word n-gram 2
0.8966666666666667,10,30,Word n-gram,2,Word n-gram 2
0.8959999999999999,10,50,Word n-gram,2,Word n-gram 2
0.9289999999999999,10,100,Word n-gram,2,Word n-gram 2
